route,language,page_family,efr_score,locale_percentile,family_percentile,measured_weight,unmeasured_dimensions,status,word_count,dim_formulaicPhraseDensity,dim_formulaicSyntax,dim_genericIntroductions,dim_promotionalVagueness,dim_specificityDeficit,dim_crossPageSameness,dim_structuralTemplate,dim_punctuationFingerprint,dim_rhythmRepetition,forbidden_count,discouraged_count,density_limited_count,search_protected_count,emdash_count,negative_parallelism,triads,rhetorical_questions,distinct_specific_facts,sentences,closest_page,closest_jaccard,structure_shared_with,top_recurring_patterns,ranking_sensitivity,sensitivity_evidence,likely_upstream_source,recommended_action,confidence
/library/lenny-face/,en,library,15.5,68.5,58.3,100,,scored,267,0,0,0,0,9.16,0,1.42,3.65,1.25,7,0,0,11,7,0,3,0,0,10,,,24,EFR-F-001x7,unknown,no performance overlay supplied,template shared with 24 same-locale library pages,no action,medium
/library/lewandowski-emoji-combos/,en,library,25.4,97.7,96.2,100,,scored,195,0,0.99,0,0,9.16,6.36,7.34,0,1.56,3,0,0,5,3,0,4,0,0,8,library/kane-emoji-combos/index.html,0.5983,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,conservative page edit,medium
/library/line-divider-symbols/,en,library,2.8,9,5.9,100,,scored,306,0,0,0,0,0,0,0.47,0,2.37,4,0,0,13,4,0,4,0,2,13,,,8,EFR-F-001x4,unknown,no performance overlay supplied,,no action,medium
/library/linkedin-symbol-library/,en,library,5.9,29.8,20.7,100,,scored,733,0,2.64,0,1.82,0.06,0,0,0,1.39,11,0,1,34,11,0,20,0,2,33,,,0,EFR-F-001x11 EFR-L-003x1,unknown,no performance overlay supplied,,no action,medium
/library/lip-bite-emoji/,en,library,8.7,42.3,34,100,,scored,307,0,1.55,0,0,0,0,4.44,0.25,2.5,5,0,0,4,5,0,7,0,1,10,,,75,EFR-F-001x5,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
/library/loading-text-symbols/,en,library,16.5,70.3,61.5,100,,scored,293,6.83,0,0,0,0,0,4.44,3.41,1.84,6,1,0,7,6,0,4,0,2,10,,,75,EFR-F-001x6 EFR-D-001x1,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
/library/love-kaomoji/,en,library,5.6,27.9,17.2,100,,scored,355,0,1.48,0,0,0,0,1.42,1.43,1.25,7,0,0,11,7,0,8,0,1,10,,,24,EFR-F-001x7,unknown,no performance overlay supplied,template shared with 24 same-locale library pages,no action,medium
/library/math-symbols/,en,library,15.7,68.9,59.2,100,,scored,757,2.64,2.53,2.67,1.76,0,0,0.06,5.28,0.72,9,1,1,16,9,0,12,1,3,19,,,1,EFR-F-001x9 EFR-D-004x1 EFR-L-003x1,unknown,no performance overlay supplied,,no action,medium
/library/mbappe-emoji-combos/,en,library,19.6,85.2,74,95,rhythmRepetition,scored,197,0,2.17,0,0,9.16,0,7.34,0,n/a,3,0,0,5,3,0,5,0,0,7,,,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/media-control-symbols/,en,library,24.2,96,92.6,95,rhythmRepetition,scored,209,0,5.31,0,0,9.16,0,7.34,1.23,n/a,4,0,0,9,4,0,8,0,0,7,,,124,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,conservative page edit,medium
/library/medical-symbols/,en,library,3.6,12.6,9.2,100,,scored,283,0,0.3,0,0,0,0,0,1.93,1.39,6,0,0,9,6,0,5,0,1,9,,,0,EFR-F-001x6,unknown,no performance overlay supplied,,no action,medium
/library/meme-text-art/,en,library,8.6,42,33.4,100,,scored,318,0,0.59,0,0,0,0,4.44,2.21,1.37,7,0,0,9,7,0,6,0,3,10,,,75,EFR-F-001x7,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
/library/messi-emoji-combos/,en,library,18,81.1,68.3,95,rhythmRepetition,scored,211,0,0.61,0,0,9.16,0,7.34,0,n/a,3,0,0,5,3,0,4,0,0,7,,,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/mexico-emoji-combos/,en,library,10,48,39.3,95,rhythmRepetition,scored,202,0,0,0,0,0,2.14,7.34,0,n/a,3,0,0,5,3,0,3,0,1,7,library/ecuador-emoji-combos/index.html,0.5,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,no action,medium
/library/middle-finger-emoji/,en,library,6.9,35.4,26.3,100,,scored,320,0,0,0,0,0,0,4.44,0,2.5,4,0,0,5,4,0,3,0,2,10,,,75,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
/library/minecraft-symbols/,en,library,9,43.4,35.5,100,,scored,298,0,3.34,0,0,0,0,4.44,0,1.25,4,0,0,16,4,0,9,0,3,10,,,75,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
/library/ml-name-symbols/,en,library,15.6,68.7,58.9,100,,scored,358,5.59,4,2.67,0,0,0,2.31,0,1.04,4,1,0,9,4,0,4,1,1,12,,,39,EFR-F-001x4 EFR-D-004x1,unknown,no performance overlay supplied,template shared with 39 same-locale library pages,no action,medium
/library/moai-emoji/,en,library,6.6,33.9,24.3,100,,scored,299,0,0.07,0,0,0,0,4.44,0.4,1.72,5,0,0,8,5,0,5,0,2,10,,,75,EFR-F-001x5,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
/library/modric-emoji-combos/,en,library,24.3,96.1,92.9,100,,scored,196,0,0.96,0,0,9.16,5.31,7.34,0,1.56,3,0,0,5,3,0,4,0,0,8,library/rodrygo-emoji-combos/index.html,0.5738,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,conservative page edit,medium
/library/money-emojis/,en,library,24.1,95.7,92,100,,scored,307,0,3.13,0,0,9.16,0,4.44,5.83,1.5,10,0,0,6,10,0,9,0,0,11,,,75,EFR-F-001x10,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,conservative page edit,medium
/library/moon-celestial-symbols/,en,library,12.5,57.3,46.4,100,,scored,315,0,1.4,0,0,9.16,0,0,0.11,1.83,5,0,0,11,5,0,7,0,0,9,,,0,EFR-F-001x5,unknown,no performance overlay supplied,,no action,medium
/library/morocco-emoji-combos/,en,library,20.8,89.2,81.4,95,rhythmRepetition,scored,201,0,0,0,0,9.16,3.27,7.34,0,n/a,3,0,0,5,3,0,2,0,0,7,library/portugal-emoji-combos/index.html,0.5263,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/movie-night-emojis/,en,library,10.7,49.3,41.1,100,,scored,304,0,2.4,0,0,0,0,2.31,4.81,1.14,9,0,0,6,9,0,8,0,1,11,,,39,EFR-F-001x9,unknown,no performance overlay supplied,template shared with 39 same-locale library pages,no action,medium
/library/muscle-emoji/,en,library,16,69.4,59.8,100,,scored,363,0,1.36,0,0,9.16,0,1.42,1.28,2.78,7,0,0,5,7,0,8,0,0,9,,,24,EFR-F-001x7,unknown,no performance overlay supplied,template shared with 24 same-locale library pages,no action,medium
/library/musiala-emoji-combos/,en,library,23.8,95.2,90.5,100,,scored,194,0,1.01,0,0,9.16,4.74,7.34,0,1.59,3,0,0,5,3,0,4,0,0,8,library/yamal-emoji-combos/index.html,0.5607,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,conservative page edit,medium
/library/music-kaomoji/,en,library,13.6,61.3,50,100,,scored,236,0,0,0,0,0,0,7.34,4.83,1.39,7,0,0,8,7,0,3,0,1,9,,,124,EFR-F-001x7,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,no action,medium
/library/music-symbols/,en,library,2.9,9.7,6.5,100,,scored,324,0,2,0,0,0,0,0,0,0.94,3,0,0,12,3,0,8,0,1,14,,,0,EFR-F-001x3,unknown,no performance overlay supplied,,no action,medium
/library/nature-emojis/,en,library,19.8,85.9,75.7,100,,scored,311,0,1.47,0,0,9.16,0,4.44,3.48,1.21,8,0,0,7,8,0,7,0,0,12,,,75,EFR-F-001x8,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,monitor,low
/library/nerd-emoji/,en,library,14,63.4,52.7,100,,scored,300,0,0,0,0,9.16,0,2.31,0,2.5,4,0,0,4,4,0,3,0,0,10,,,39,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 39 same-locale library pages,no action,medium
/library/netherlands-emoji-combos/,en,library,19.8,85.9,75.7,95,rhythmRepetition,scored,196,0,0,0,0,9.16,2.31,7.34,0,n/a,3,0,0,5,3,0,2,0,0,7,library/sweden-emoji-combos/index.html,0.504,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/new-zealand-emoji-combos/,en,library,18.6,82.6,69.8,95,rhythmRepetition,scored,210,0,0,0,0,9.16,0,7.34,1.2,n/a,4,0,0,5,4,0,2,0,0,7,,,124,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/neymar-emoji-combos/,en,library,18.2,81.4,68.9,95,rhythmRepetition,scored,202,0,0.82,0,0,9.16,0,7.34,0,n/a,3,0,0,5,3,0,4,0,0,7,,,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/nickname-symbols/,en,library,1.5,3.3,2.4,100,,scored,1217,0,0.84,0,0,0,0,0,0,0.63,15,0,0,34,15,0,3,1,18,57,,,0,EFR-F-001x15,unknown,no performance overlay supplied,,no action,medium
/library/nigeria-emoji-combos/,en,library,20.4,88.2,79.6,95,rhythmRepetition,scored,201,0,0,0,0,9.16,2.92,7.34,0,n/a,3,0,0,5,3,0,2,0,0,7,library/algeria-emoji-combos/index.html,0.5181,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/nkunku-emoji-combos/,en,library,24.3,96.1,92.9,100,,scored,194,0,1.01,0,0,9.16,5.2,7.34,0,1.56,3,0,0,5,3,0,4,0,0,8,library/griezmann-emoji-combos/index.html,0.5714,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,conservative page edit,medium
/library/norse-viking-runes/,en,library,1.6,4,3.3,100,,scored,385,0,0,0,0,0,0,0.36,0.01,1.22,6,0,0,12,6,0,2,0,4,14,,,6,EFR-F-001x6,unknown,no performance overlay supplied,,no action,medium
/library/norway-emoji-combos/,en,library,22.1,91.2,85.5,95,rhythmRepetition,scored,199,0,0,0,0,9.16,2.92,7.34,1.56,n/a,4,0,0,5,4,0,3,0,0,7,library/paraguay-emoji-combos/index.html,0.5181,124,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,editorial review,low
/library/number-symbols/,en,library,4.1,19.9,11.5,100,,scored,266,0,0.57,0,0,0,0,2.31,0,1.25,3,0,0,13,3,0,5,0,1,10,,,39,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 39 same-locale library pages,no action,medium
/library/object-emojis/,en,library,7.7,38.2,29.6,100,,scored,328,0,4.16,0,0,0,0,0.47,1.98,1.14,7,0,0,6,7,0,11,0,1,11,,,8,EFR-F-001x7,unknown,no performance overlay supplied,,no action,medium
/library/osimhen-emoji-combos/,en,library,23.2,94.3,89.6,100,,scored,197,0,0.94,0,0,9.16,4.09,7.34,0,1.69,3,0,0,5,3,0,4,0,0,8,library/pedri-emoji-combos/index.html,0.5455,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,editorial review,low
/library/panama-emoji-combos/,en,library,22.1,91.2,85.5,95,rhythmRepetition,scored,202,0,0,0,0,9.16,3.09,7.34,1.45,n/a,4,0,0,5,4,0,3,0,0,7,library/paraguay-emoji-combos/index.html,0.5221,124,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,editorial review,low
/library/paraguay-emoji-combos/,en,library,22.4,92,87.3,95,rhythmRepetition,scored,198,0,0,0,0,9.16,3.18,7.34,1.59,n/a,4,0,0,5,4,0,3,0,0,7,library/chile-emoji-combos/index.html,0.5242,124,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,editorial review,low
/library/party-celebration-emojis/,en,library,17.2,73.8,64.2,100,,scored,396,5.05,0.91,0,0,9.16,0,0.47,0,1.6,6,1,0,9,6,0,8,0,0,11,,,8,EFR-F-001x6 EFR-D-001x1,unknown,no performance overlay supplied,,no action,medium
/library/peace-emoji/,en,library,12.5,57.3,46.4,100,,scored,432,0,4.36,0,0,0,0,4.44,2.6,1.14,10,0,0,11,10,0,3,1,2,11,,,75,EFR-F-001x10,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
/library/pedri-emoji-combos/,en,library,26.1,98.8,97.9,100,,scored,193,0,1.04,0,0,9.16,6.99,7.34,0,1.56,3,0,0,5,3,0,4,0,0,8,library/gavi-emoji-combos/index.html,0.613,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,conservative page edit,medium
/library/people-profession-emojis/,en,library,10.7,49.3,41.1,100,,scored,357,5.6,2.81,0,0,0,0,0,0,2.25,3,1,0,8,3,0,10,0,1,17,,,0,EFR-F-001x3 EFR-D-001x1,unknown,no performance overlay supplied,,no action,medium
/library/peru-emoji-combos/,en,library,22.2,91.4,86.1,95,rhythmRepetition,scored,198,0,0,0,0,9.16,3.01,7.34,1.59,n/a,4,0,0,5,4,0,2,0,0,7,library/switzerland-emoji-combos/index.html,0.5202,124,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,editorial review,low
/library/pleading-emoji/,en,library,5.8,29.2,19.5,100,,scored,420,0,1.21,0,0,1.22,0,2.31,0,1.04,6,0,0,7,6,0,9,0,1,12,,,39,EFR-F-001x6,unknown,no performance overlay supplied,template shared with 39 same-locale library pages,no action,medium
/library/poland-emoji-combos/,en,library,18.9,83.5,71,95,rhythmRepetition,scored,201,0,0,0,0,9.16,0,7.34,1.49,n/a,4,0,0,5,4,0,2,0,0,7,,,124,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/poop-emoji/,en,library,15.9,69.2,59.5,100,,scored,290,0,1.03,0,0,9.16,0,4.44,0,1.25,4,0,0,5,4,0,6,0,0,10,,,75,EFR-F-001x4,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
/library/portugal-emoji-combos/,en,library,20.8,89.2,81.4,95,rhythmRepetition,scored,196,0,0,0,0,9.16,3.27,7.34,0,n/a,3,0,0,5,3,0,2,0,0,7,library/morocco-emoji-combos/index.html,0.5263,124,EFR-F-001x3,unknown,no performance overlay supplied,template shared with 124 same-locale library pages,monitor,low
/library/praying-hands-emoji/,en,library,15.5,68.5,58.3,100,,scored,353,0,0.82,0,0,9.16,0,4.44,0,1.04,5,0,0,6,5,0,7,0,0,12,,,75,EFR-F-001x5,unknown,no performance overlay supplied,template shared with 75 same-locale library pages,no action,medium
