repo_path,r2_key,public_url,size_bytes,category,status,error
assets/pinterest/library-clown-emoji--v8.png,pinterest/variants/library-clown-emoji--v8.png,https://media.ultratextgen.com/pinterest/variants/library-clown-emoji--v8.png,207664,variants,skipped-identical,
assets/pinterest/library-clown-emoji.png,pinterest/base/library-clown-emoji.png,https://media.ultratextgen.com/pinterest/base/library-clown-emoji.png,216093,base,skipped-identical,
assets/pinterest/library-colombia-emoji-combos--v2.png,pinterest/variants/library-colombia-emoji-combos--v2.png,https://media.ultratextgen.com/pinterest/variants/library-colombia-emoji-combos--v2.png,216582,variants,skipped-identical,
assets/pinterest/library-colombia-emoji-combos--v3.png,pinterest/variants/library-colombia-emoji-combos--v3.png,https://media.ultratextgen.com/pinterest/variants/library-colombia-emoji-combos--v3.png,228425,variants,skipped-identical,
assets/pinterest/library-colombia-emoji-combos--v4.png,pinterest/variants/library-colombia-emoji-combos--v4.png,https://media.ultratextgen.com/pinterest/variants/library-colombia-emoji-combos--v4.png,217708,variants,skipped-identical,
assets/pinterest/library-colombia-emoji-combos--v5.png,pinterest/variants/library-colombia-emoji-combos--v5.png,https://media.ultratextgen.com/pinterest/variants/library-colombia-emoji-combos--v5.png,226360,variants,skipped-identical,
assets/pinterest/library-colombia-emoji-combos--v6.png,pinterest/variants/library-colombia-emoji-combos--v6.png,https://media.ultratextgen.com/pinterest/variants/library-colombia-emoji-combos--v6.png,220525,variants,skipped-identical,
assets/pinterest/library-colombia-emoji-combos--v7.png,pinterest/variants/library-colombia-emoji-combos--v7.png,https://media.ultratextgen.com/pinterest/variants/library-colombia-emoji-combos--v7.png,217545,variants,skipped-identical,
assets/pinterest/library-colombia-emoji-combos--v8.png,pinterest/variants/library-colombia-emoji-combos--v8.png,https://media.ultratextgen.com/pinterest/variants/library-colombia-emoji-combos--v8.png,220200,variants,skipped-identical,
assets/pinterest/library-colombia-emoji-combos.png,pinterest/base/library-colombia-emoji-combos.png,https://media.ultratextgen.com/pinterest/base/library-colombia-emoji-combos.png,216051,base,skipped-identical,
assets/pinterest/library-color-emoji-combos--v2.png,pinterest/variants/library-color-emoji-combos--v2.png,https://media.ultratextgen.com/pinterest/variants/library-color-emoji-combos--v2.png,212084,variants,skipped-identical,
