archetype,mode,reps,svg_build_s,load_median_s,load_iqr_s,raster_median_s,raster_iqr_s,pdf_median_s,pdf_iqr_s,raster_post_median_s,layout_s,style_s,js_heap_used_mb,dom_nodes,dom_patterns,dom_images,svg_bytes,pdf_bytes
C,TINT_FILL_15,7,8.6345e-05,0.00412727,0.000509199,0.0992155,0.00509524,0.00880198,0.00127093,0,0,0,2.07927,22,0,0,3887,32316
C,GRAYSCALE,7,7.6054e-05,0.00380719,0.000683975,0.104988,0.0116055,0.00876887,0.00144777,0,0,0,1.89228,22,0,0,3887,32316
C,BW_THRESHOLD,7,8.6286e-05,0.00401478,0.00103227,0.0980728,0.0236294,0.00919924,0.000933435,0.217987,0,0,2.07932,22,0,0,3887,32316
C,BW_SEMANTIC,7,7.99e-05,0.00396223,0.000625837,0.0979632,0.0118955,0.00916549,0.00228662,0,0,0,1.89626,22,0,0,3887,32312
C,OUTLINE_ONLY,7,0.000114909,0.0038761,0.000534601,0.103833,0.014527,0.00960664,0.00116922,0,0,0,2.0833,22,0,0,3887,32316
C,OUTLINE_NAIVE,7,9.6837e-05,0.00410372,0.000638066,0.100927,0.0101186,0.00976515,0.00203027,0,0,0,1.89141,22,0,0,3887,32316
C,BG_REMOVAL,7,8.8624e-05,0.00330375,0.000373353,0.0985738,0.0135926,0.00921954,0.000977822,0,0,0,2.07863,22,0,0,3887,32316
C,DECOR_REMOVAL,7,8.1919e-05,0.00401858,0.000300561,0.105267,0.015896,0.00909063,0.00284796,0,0,0,1.87828,22,0,0,3887,32316
C,HALFTONE_H,7,8.6788e-05,0.00395763,0.000396711,0.101063,0.00661174,0.00900723,0.00086377,0,0,0,2.06516,22,0,0,3887,32316
C,HALFTONE_M,7,8.551e-05,0.00455713,0.00069396,0.096533,0.00732086,0.0091433,0.000837693,0,0,0,1.8764,22,0,0,3887,32316
C,HALFTONE_L,7,0.000165638,0.00400772,0.000414135,0.100247,0.00281251,0.00897244,0.000700791,0,0,0,2.06333,22,0,0,3887,32316
