mode,dpi,weight,size_pt,colour_after,nominal_wcag_cr,g0_recognition,g0_stroke_retention,g0_core_tone_median,pc1_recognition,pc1_stroke_retention,pc1_core_tone_median,pc2_recognition,pc2_stroke_retention,pc2_core_tone_median,pc3_recognition,pc3_stroke_retention,pc3_core_tone_median
STANDARD,300,bold,9,#1a1a1a,17.4043,1,1,0.898039,1,0.999272,0.808885,1,0.99345,0.752759,1,0.979258,0.713962
STANDARD,300,bold,10,#1a1a1a,17.4043,1,1,0.898039,1,0.99934,0.84195,1,0.994625,0.800811,1,0.985384,0.775739
STANDARD,300,bold,12,#1a1a1a,17.4043,1,1,0.898039,1,0.999202,0.8846,1,0.996343,0.865464,1,0.991621,0.855952
STANDARD,300,bold,14,#1a1a1a,17.4043,1,1,0.898039,1,0.999608,0.920014,1,0.9976,0.923713,1,0.993732,0.920798
OPACITY_GROUP_75,150,light,6,#1a1a1a,7.69228,1,1,0.470434,1,0.582915,0.262722,0.833333,0.0175879,0.0970064,0.0277778,0,0.00299081
OPACITY_GROUP_75,150,light,7,#1a1a1a,7.69228,1,1,0.493041,1,0.782609,0.289352,0.944444,0.0382609,0.131636,0.138889,0,0.0136957
OPACITY_GROUP_75,150,light,8,#1a1a1a,7.69228,1,1,0.51288,1,0.853022,0.315522,0.944444,0.144231,0.161226,0.5,0.00274725,0.0250759
OPACITY_GROUP_75,150,light,9,#1a1a1a,7.69228,1,1,0.544714,1,0.945495,0.351317,1,0.25584,0.201526,0.777778,0.0166852,0.0615476
OPACITY_GROUP_75,150,light,10,#1a1a1a,7.69228,1,1,0.551788,1,0.965085,0.370933,1,0.38496,0.226816,0.916667,0.0438675,0.0956567
OPACITY_GROUP_75,150,light,12,#1a1a1a,7.69228,1,1,0.598693,1,0.991243,0.437149,1,0.757735,0.302851,1,0.175131,0.177985
OPACITY_GROUP_75,150,light,14,#1a1a1a,7.69228,1,1,0.623345,1,0.99737,0.476449,1,0.909689,0.357935,1,0.468654,0.244221
OPACITY_GROUP_75,150,regular,6,#1a1a1a,7.69228,1,1,0.541176,1,0.912975,0.359325,1,0.314873,0.214665,0.833333,0.0316456,0.07798
OPACITY_GROUP_75,150,regular,7,#1a1a1a,7.69228,1,1,0.571949,1,0.975845,0.397721,1,0.545894,0.258759,0.972222,0.0990338,0.133161
OPACITY_GROUP_75,150,regular,8,#1a1a1a,7.69228,1,1,0.57301,1,0.986486,0.424032,1,0.728829,0.29778,1,0.193694,0.179922
OPACITY_GROUP_75,150,regular,9,#1a1a1a,7.69228,1,1,0.618993,1,0.992548,0.463161,1,0.85693,0.342458,1,0.428465,0.232147
OPACITY_GROUP_75,150,regular,10,#1a1a1a,7.69228,1,1,0.640215,1,0.994516,0.496952,1,0.917124,0.390282,1,0.608166,0.28229
OPACITY_GROUP_75,150,regular,12,#1a1a1a,7.69228,1,1,0.675586,1,0.998846,0.558631,1,0.968449,0.46907,1,0.850327,0.377695
OPACITY_GROUP_75,150,regular,14,#1a1a1a,7.69228,1,1,0.675586,1,0.999416,0.58899,1,0.975482,0.516994,1,0.90251,0.440918
OPACITY_GROUP_75,150,bold,6,#1a1a1a,7.69228,1,1,0.62253,1,0.987111,0.473467,1,0.861439,0.36798,1,0.549946,0.262992
OPACITY_GROUP_75,150,bold,7,#1a1a1a,7.69228,1,1,0.63391,1,0.993012,0.507325,1,0.92236,0.41361,1,0.706522,0.323415
OPACITY_GROUP_75,150,bold,8,#1a1a1a,7.69228,1,1,0.671419,1,0.996934,0.54094,1,0.947885,0.457898,1,0.795831,0.374962
OPACITY_GROUP_75,150,bold,9,#1a1a1a,7.69228,1,1,0.675586,1,0.997555,0.569005,1,0.959902,0.489688,1,0.871394,0.412684
OPACITY_GROUP_75,150,bold,10,#1a1a1a,7.69228,1,1,0.675586,1,0.996712,0.595446,1,0.97164,0.532844,1,0.903822,0.467008
OPACITY_GROUP_75,150,bold,12,#1a1a1a,7.69228,1,1,0.675586,1,0.999221,0.618938,1,0.987283,0.577622,1,0.941085,0.537579
OPACITY_GROUP_75,150,bold,14,#1a1a1a,7.69228,1,1,0.675586,1,0.999016,0.644129,1,0.988974,0.620884,1,0.960425,0.592902
OPACITY_GROUP_75,300,light,6,#1a1a1a,7.69228,1,1,0.576548,1,0.348119,0.232124,0.861111,0.00617631,0.0691578,0.0277778,0,0.00353736
OPACITY_GROUP_75,300,light,7,#1a1a1a,7.69228,1,1,0.618993,1,0.678927,0.274654,1,0.0324535,0.111755,0.111111,0,0.00818431
OPACITY_GROUP_75,300,light,8,#1a1a1a,7.69228,1,1,0.64729,1,0.859436,0.313449,1,0.086173,0.152691,0.527778,0.00557012,0.0217264
OPACITY_GROUP_75,300,light,9,#1a1a1a,7.69228,1,1,0.671419,1,0.91755,0.346209,1,0.170845,0.190487,0.888889,0.0126648,0.0530816
OPACITY_GROUP_75,300,light,10,#1a1a1a,7.69228,1,1,0.675586,1,0.963542,0.387835,1,0.406042,0.235967,1,0.0422917,0.0993961
OPACITY_GROUP_75,300,light,12,#1a1a1a,7.69228,1,1,0.675586,1,0.982486,0.436,1,0.737439,0.298514,1,0.136377,0.169436
OPACITY_GROUP_75,300,light,14,#1a1a1a,7.69228,1,1,0.675586,1,0.988,0.482605,1,0.887196,0.358797,1,0.451216,0.240973
OPACITY_GROUP_75,300,regular,6,#1a1a1a,7.69228,1,1,0.675586,1,0.918476,0.364527,1,0.288762,0.213336,0.805556,0.0312381,0.0777596
OPACITY_GROUP_75,300,regular,7,#1a1a1a,7.69228,1,1,0.675586,1,0.956057,0.408755,1,0.583695,0.264066,1,0.0951142,0.137043
OPACITY_GROUP_75,300,regular,8,#1a1a1a,7.69228,1,1,0.675586,1,0.971847,0.444019,1,0.753491,0.307256,1,0.211926,0.185949
OPACITY_GROUP_75,300,regular,9,#1a1a1a,7.69228,1,1,0.675586,1,0.982298,0.473274,1,0.845105,0.349706,1,0.426624,0.232809
OPACITY_GROUP_75,300,regular,10,#1a1a1a,7.69228,1,1,0.675586,1,0.987719,0.506494,1,0.90258,0.393928,1,0.647854,0.287022
OPACITY_GROUP_75,300,regular,12,#1a1a1a,7.69228,1,1,0.675586,1,0.991052,0.548138,1,0.943231,0.455021,1,0.812277,0.363892
OPACITY_GROUP_75,300,regular,14,#1a1a1a,7.69228,1,1,0.675586,1,0.993209,0.588359,1,0.967262,0.511095,1,0.894639,0.437184
OPACITY_GROUP_75,300,bold,6,#1a1a1a,7.69228,1,1,0.675586,1,0.974006,0.485524,1,0.833117,0.374517,1,0.562256,0.267765
OPACITY_GROUP_75,300,bold,7,#1a1a1a,7.69228,1,1,0.675586,1,0.982097,0.522124,1,0.888058,0.421537,1,0.710014,0.325347
OPACITY_GROUP_75,300,bold,8,#1a1a1a,7.69228,1,1,0.675586,1,0.988409,0.551328,1,0.923227,0.463061,1,0.792112,0.375289
OPACITY_GROUP_75,300,bold,9,#1a1a1a,7.69228,1,1,0.675586,1,0.988962,0.576337,1,0.944081,0.497049,1,0.842431,0.421772
OPACITY_GROUP_75,300,bold,10,#1a1a1a,7.69228,1,1,0.675586,1,0.990759,0.600011,1,0.955116,0.533279,1,0.879679,0.470149
OPACITY_GROUP_75,300,bold,12,#1a1a1a,7.69228,1,1,0.675586,1,0.994414,0.631835,1,0.968347,0.581599,1,0.913752,0.534843
OPACITY_GROUP_75,300,bold,14,#1a1a1a,7.69228,1,1,0.675586,1,0.995837,0.657783,1,0.97953,0.627027,1,0.944025,0.595231
OPACITY_GROUP_60,150,light,6,#1a1a1a,4.54222,1,1,0.376563,0.972222,0.0954774,0.185702,0.166667,0,0.0323021,0,0,0
OPACITY_GROUP_60,150,light,7,#1a1a1a,4.54222,1,1,0.396155,1,0.213913,0.208272,0.472222,0.00173913,0.0593053,0,0,0
OPACITY_GROUP_60,150,light,8,#1a1a1a,4.54222,1,1,0.412088,1,0.35989,0.22858,0.861111,0.00824176,0.0807324,0.0277778,0,0.00238487
OPACITY_GROUP_60,150,light,9,#1a1a1a,4.54222,1,1,0.435063,1,0.555061,0.257887,0.972222,0.0222469,0.112051,0.0277778,0.00111235,0.00924671
OPACITY_GROUP_60,150,light,10,#1a1a1a,4.54222,1,1,0.44406,1,0.642793,0.273193,0.972222,0.0438675,0.131034,0.222222,0.00179051,0.0169454
OPACITY_GROUP_60,150,light,12,#1a1a1a,4.54222,1,1,0.483137,1,0.832458,0.325871,1,0.15937,0.189717,0.916667,0.00525394,0.0624965
OPACITY_GROUP_60,150,light,14,#1a1a1a,4.54222,1,1,0.498731,1,0.917142,0.356504,1,0.407716,0.233386,1,0.039018,0.112004
OPACITY_GROUP_60,150,regular,6,#1a1a1a,4.54222,1,1,0.431526,1,0.582278,0.262875,0.972222,0.0443038,0.122497,0.0833333,0.00158228,0.0124018
OPACITY_GROUP_60,150,regular,7,#1a1a1a,4.54222,1,1,0.454717,1,0.757246,0.293415,1,0.0917874,0.155485,0.305556,0.00120773,0.030609
OPACITY_GROUP_60,150,regular,8,#1a1a1a,4.54222,1,1,0.457824,1,0.818919,0.316069,1,0.179279,0.186808,0.805556,0.0135135,0.0633077
OPACITY_GROUP_60,150,regular,9,#1a1a1a,4.54222,1,1,0.497347,1,0.88003,0.346813,1,0.353204,0.222977,0.972222,0.033532,0.103511
OPACITY_GROUP_60,150,regular,10,#1a1a1a,4.54222,1,1,0.51288,1,0.916514,0.373532,1,0.541743,0.25779,0.972222,0.07922,0.142421
OPACITY_GROUP_60,150,regular,12,#1a1a1a,4.54222,1,1,0.541176,1,0.958061,0.42026,1,0.752982,0.318891,1,0.329742,0.214683
OPACITY_GROUP_60,150,regular,14,#1a1a1a,4.54222,1,1,0.541176,1,0.954758,0.444823,1,0.805604,0.357035,1,0.539988,0.260718
OPACITY_GROUP_60,150,bold,6,#1a1a1a,4.54222,1,1,0.498731,1,0.886144,0.35256,1,0.456498,0.239401,0.944444,0.0773362,0.125413
OPACITY_GROUP_60,150,bold,7,#1a1a1a,4.54222,1,1,0.509343,1,0.927795,0.381632,1,0.604814,0.275678,1,0.178571,0.172103
OPACITY_GROUP_60,150,bold,8,#1a1a1a,4.54222,1,1,0.537639,1,0.942367,0.409131,1,0.702023,0.31228,1,0.369099,0.212271
OPACITY_GROUP_60,150,bold,9,#1a1a1a,4.54222,1,1,0.541176,1,0.952567,0.42964,1,0.772616,0.338996,1,0.474328,0.24314
OPACITY_GROUP_60,150,bold,10,#1a1a1a,4.54222,1,1,0.541176,1,0.954377,0.449835,1,0.814632,0.368386,1,0.593506,0.281091
OPACITY_GROUP_60,150,bold,12,#1a1a1a,4.54222,1,1,0.541176,1,0.972489,0.469019,1,0.860369,0.405888,1,0.706462,0.335497
OPACITY_GROUP_60,150,bold,14,#1a1a1a,4.54222,1,1,0.541176,1,0.975783,0.489096,1,0.897027,0.44072,1,0.765702,0.381974
OPACITY_GROUP_60,300,light,6,#1a1a1a,4.54222,1,1,0.46336,1,0.0522179,0.161427,0.138889,0,0.0142227,0,0,0.000445664
OPACITY_GROUP_60,300,light,7,#1a1a1a,4.54222,1,1,0.497347,1,0.140632,0.195325,0.666667,0.000865426,0.0395525,0,0,0.000863194
OPACITY_GROUP_60,300,light,8,#1a1a1a,4.54222,1,1,0.518662,1,0.307667,0.225739,0.888889,0.00491481,0.0711235,0.0833333,0,0.00320584
OPACITY_GROUP_60,300,light,9,#1a1a1a,4.54222,1,1,0.537639,1,0.514086,0.252408,1,0.0165417,0.100305,0.111111,0,0.00569397
OPACITY_GROUP_60,300,light,10,#1a1a1a,4.54222,1,1,0.541176,1,0.723542,0.284579,1,0.03875,0.136096,0.388889,0,0.0132858
OPACITY_GROUP_60,300,light,12,#1a1a1a,4.54222,1,1,0.541176,1,0.825294,0.323834,1,0.137382,0.185111,0.805556,0.00574218,0.0530595
OPACITY_GROUP_60,300,light,14,#1a1a1a,4.54222,1,1,0.541176,1,0.886048,0.360637,1,0.400814,0.232865,1,0.0331838,0.10687
OPACITY_GROUP_60,300,regular,6,#1a1a1a,4.54222,1,1,0.541176,1,0.609905,0.268188,1,0.0270476,0.117801,0.111111,0,0.00886267
OPACITY_GROUP_60,300,regular,7,#1a1a1a,4.54222,1,1,0.541176,1,0.752819,0.301942,1,0.0838393,0.158046,0.583333,0.00289101,0.0317715
OPACITY_GROUP_60,300,regular,8,#1a1a1a,4.54222,1,1,0.541176,1,0.812902,0.329459,1,0.193084,0.191843,0.888889,0.0119707,0.0643717
OPACITY_GROUP_60,300,regular,9,#1a1a1a,4.54222,1,1,0.541176,1,0.865286,0.353358,1,0.379005,0.225405,1,0.0346964,0.100823
OPACITY_GROUP_60,300,regular,10,#1a1a1a,4.54222,1,1,0.541176,1,0.894025,0.380201,1,0.549055,0.260639,1,0.0800331,0.142552
OPACITY_GROUP_60,300,regular,12,#1a1a1a,4.54222,1,1,0.541176,1,0.917733,0.413224,1,0.695949,0.308519,1,0.30001,0.201991
OPACITY_GROUP_60,300,regular,14,#1a1a1a,4.54222,1,1,0.541176,1,0.943888,0.444505,1,0.788277,0.353118,1,0.530522,0.258685
OPACITY_GROUP_60,300,bold,6,#1a1a1a,4.54222,1,1,0.541176,1,0.853132,0.362835,1,0.472836,0.243885,0.944444,0.0714843,0.127099
OPACITY_GROUP_60,300,bold,7,#1a1a1a,4.54222,1,1,0.541176,1,0.895337,0.392554,1,0.620696,0.282157,1,0.183553,0.171542
OPACITY_GROUP_60,300,bold,8,#1a1a1a,4.54222,1,1,0.541176,1,0.913894,0.415869,1,0.699533,0.315663,1,0.36339,0.210661
OPACITY_GROUP_60,300,bold,9,#1a1a1a,4.54222,1,1,0.541176,1,0.926249,0.435616,1,0.751456,0.34243,1,0.492843,0.247746
OPACITY_GROUP_60,300,bold,10,#1a1a1a,4.54222,1,1,0.541176,1,0.930882,0.453712,1,0.789439,0.371604,1,0.594437,0.285031
OPACITY_GROUP_60,300,bold,12,#1a1a1a,4.54222,1,1,0.541176,1,0.944607,0.479371,1,0.82092,0.409644,1,0.685729,0.334956
OPACITY_GROUP_60,300,bold,14,#1a1a1a,4.54222,1,1,0.541176,1,0.96332,0.499268,1,0.86381,0.445682,1,0.748776,0.3837
OPACITY_GROUP_45,150,light,6,#1a1a1a,2.8847,1,0.851759,0.281861,0.75,0.00251256,0.109335,0,0,0.00181869,0,0,0
OPACITY_GROUP_45,150,light,7,#1a1a1a,2.8847,1,0.911304,0.298408,0.944444,0.00173913,0.12686,0,0,0.00390422,0,0,0
OPACITY_GROUP_45,150,light,8,#1a1a1a,2.8847,1,0.881868,0.310404,0.972222,0.0274725,0.141807,0.0555556,0,0.0135995,0,0,0
OPACITY_GROUP_45,150,light,9,#1a1a1a,2.8847,1,0.927697,0.32895,1,0.0567297,0.164132,0.194444,0,0.0263451,0,0,0
OPACITY_GROUP_45,150,light,10,#1a1a1a,2.8847,1,0.907789,0.333933,1,0.0886303,0.175978,0.361111,0,0.0375769,0,0,0.00292832
OPACITY_GROUP_45,150,light,12,#1a1a1a,2.8847,1,0.914769,0.360784,1,0.235844,0.212797,0.972222,0,0.0792488,0,0,0.00290382
OPACITY_GROUP_45,150,light,14,#1a1a1a,2.8847,1,0.937308,0.376563,1,0.41473,0.237527,1,0.00920649,0.110425,0.222222,0,0.0100649
OPACITY_GROUP_45,150,regular,6,#1a1a1a,2.8847,1,0.868671,0.325413,0.972222,0.0759494,0.169125,0.166667,0,0.031679,0,0,0
OPACITY_GROUP_45,150,regular,7,#1a1a1a,2.8847,1,0.931159,0.344591,1,0.142512,0.191104,0.5,0,0.0531518,0,0,0.000152588
OPACITY_GROUP_45,150,regular,8,#1a1a1a,2.8847,1,0.936937,0.344591,1,0.221622,0.206912,0.861111,0.0018018,0.0788608,0,0,0.00554043
OPACITY_GROUP_45,150,regular,9,#1a1a1a,2.8847,1,0.944113,0.376563,1,0.371088,0.229602,0.972222,0.00819672,0.103929,0.0555556,0,0.00876415
OPACITY_GROUP_45,150,regular,10,#1a1a1a,2.8847,1,0.945765,0.388897,1,0.50457,0.250915,1,0.0225472,0.127905,0.25,0,0.0199557
OPACITY_GROUP_45,150,regular,12,#1a1a1a,2.8847,1,0.965756,0.408535,1,0.664486,0.284005,1,0.0931127,0.172538,0.944444,0.00192382,0.0583375
OPACITY_GROUP_45,150,regular,14,#1a1a1a,2.8847,1,0.954466,0.408535,1,0.728255,0.302606,1,0.224168,0.200911,1,0.0107998,0.0878974
