colour,kind,area_nominal,pitch_mm,lpi,marked_area,total_tonal_coverage,weighted_darkness,perceived_L,perceived_a,perceived_b,pattern_visibility_rms,rescreen_visibility_rms,rescreen_lowfreq_rms,rescreen_coverage,pc1_mean_tone,pc2_mean_tone,pc2_visibility_rms,svg_bytes,pdf_bytes,pdf_images,pdf_xobjects,pdf_pattern_objects,pdf_content_bytes,png300_bytes,mupdf_ttc,pdfium_ttc,resvg_ttc,t_pdf,de2000_vs_equal_tint,ttc_ratio_vs_equal_tint
red,halftone,0.15,0.5,50.8,0.117535,0.235344,0.0941633,91.7517,8.6527,3.50698,0.0242234,0.0321021,0.00838007,0.092382,0.0406732,0.0119781,0.00145894,454,4597,0,0,1,165,290809,0.173489,0.178713,0.22507,0.00958496,0.699816,1.05603
red,halftone,0.15,1,25.4,0.136025,0.235557,0.0930435,91.8557,8.49295,3.44416,0.10508,0.113231,0.00477612,0.0973855,0.075463,0.0475575,0.0420361,456,55288,0,0,1,165,174038,0.226685,0.230513,0.23114,0.0154803,0.852479,1.05698
red,halftone,0.15,2,12.7,0.14101,0.236601,0.0930213,91.856,8.47534,3.43936,0.168309,0.183844,0.00371699,0.0998118,0.0927558,0.0812762,0.13401,456,55903,0,0,1,165,103774,0.214582,0.215524,0.244709,0.013778,0.866534,1.06167
red,dither_fs,0.15,4.064,nan,0.13861,0.227723,0.0913199,92.0077,8.44924,3.42121,0.0095307,0.0361228,0.00656696,0.0886353,0.0134695,0.0119382,0.00140619,1427,59208,0,0,1,165,333089,0.249671,0.249508,0.233494,0.0303756,0.934719,1.02183
red,flat_tint,0.3,,nan,0,0.452425,0.189419,83.5316,16.4664,8.58524,5.36442e-07,0.0139005,0.0110633,0.134587,0.111784,0.0208277,0.00245161,231,889,0,0,0,168,3138,0.453993,0.452425,0.452425,0.00566568,,
red,halftone,0.3,0.35,72.5714,0.252396,0.478669,0.190696,83.397,18.3443,7.60369,0.00588735,0.0354359,0.00518117,0.190572,0.113781,0.0240406,0.00278281,454,2902,0,0,1,165,491157,0.323608,0.32875,0.501045,0.0104649,1.61227,1.05801
red,halftone,0.3,0.5,50.8,0.276239,0.496015,0.197088,82.8449,18.9805,7.85995,0.0376232,0.0452641,0.00910748,0.19988,0.130716,0.0532533,0.0086342,454,7084,0,0,1,165,443444,0.339144,0.345108,0.451987,0.00763749,1.94385,1.09635
red,halftone,0.3,1,25.4,0.280501,0.477891,0.188291,83.5859,18.0191,7.39513,0.15245,0.167372,0.00718887,0.199925,0.1616,0.124062,0.0998288,456,56841,0,0,1,165,252712,0.474266,0.476738,0.465208,0.0202476,1.52637,1.05629
red,halftone,0.3,2,12.7,0.289394,0.479524,0.188276,83.5796,17.9987,7.36761,0.227268,0.250423,0.00660545,0.203581,0.185265,0.172755,0.212463,456,62803,0,0,1,165,142885,0.438733,0.438479,0.488592,0.0153941,1.52952,1.0599
red,dither_fs,0.3,4.064,nan,0.290911,0.47129,0.188844,83.5779,18.237,7.57045,0.005611,0.0320497,0.0118216,0.185492,0.111072,0.0211236,0.00374435,1483,62116,0,0,1,165,578570,0.541621,0.541661,0.482906,0.0169424,1.56277,1.0417
red,flat_tint,0.55,,nan,0,0.851582,0.348813,70.0483,35.2498,16.2242,2.38419e-07,0.0224879,0.0187876,0.282489,0.311026,0.263754,0.00342366,231,893,0,0,0,168,3138,0.859881,0.851582,0.851582,0.00883799,,
red,halftone,0.55,0.35,72.5714,0.503464,0.901926,0.357399,69.6057,36.5295,16.9273,0.00625673,0.0349117,0.00978156,0.367554,0.321759,0.27717,0.00403758,454,2901,0,0,1,165,582517,0.741063,0.747848,0.910844,0.0116465,0.631015,1.05912
red,halftone,0.55,0.5,50.8,0.496853,0.859119,0.339788,70.9858,34.487,15.6471,0.0404192,0.0579666,0.0193697,0.3541,0.29977,0.249684,0.0141424,454,6925,0,0,1,165,521678,0.75565,0.757995,0.845095,0.0806862,0.810082,1.00885
red,halftone,0.55,1,25.4,0.510711,0.85597,0.336701,71.2077,34.1339,15.3779,0.159641,0.179483,0.0112086,0.360486,0.310302,0.274804,0.139729,456,48226,0,0,1,165,335741,0.899056,0.897428,0.853288,0.0207233,1.04311,1.00515
red,halftone,0.55,2,12.7,0.537257,0.883998,0.346673,70.3973,35.2447,15.9723,0.236675,0.263825,0.0121868,0.376721,0.341983,0.331389,0.250027,456,54957,0,0,1,165,186873,0.882901,0.882232,0.89597,0.0230663,0.310541,1.03807
red,dither_fs,0.55,4.064,nan,0.5499,0.87837,0.349035,70.2912,35.6173,16.3648,0.00424413,0.0300153,0.0173193,0.350199,0.311304,0.264102,0.00531137,1287,59598,0,0,1,165,542275,0.766947,0.764088,0.892515,0.0350508,0.236491,1.03146
yellow,flat_full,1,,nan,1,0.944602,0.168245,87.2997,-2.18426,78.3035,1.78814e-07,0.0140188,0.0125421,0.118639,0.0853344,0.0119382,0.00140619,231,892,0,0,0,168,3135,0.948555,0.944602,0.944602,0.00641626,,
yellow,flat_tint,0.15,,nan,0,0.141176,0.0253224,97.883,-2.38412,13.0878,5.96046e-08,0.0155218,0.0148724,0.0146976,0.011961,0.0119382,0.00140619,231,890,0,0,0,160,3080,0.141176,0.141176,0.141176,0.011942,,
yellow,halftone,0.15,0.35,72.5714,0.106954,0.139111,0.024755,97.9239,-2.19115,12.3191,0.000982533,0.0117474,0.00116637,0.0168816,0.011961,0.0119382,0.00140619,454,2900,0,0,1,165,291636,0.121569,0.121569,0.148741,0.00970176,0.516802,0.985368
yellow,halftone,0.15,0.5,50.8,0.117535,0.140145,0.02498,97.8925,-2.16546,12.3687,0.00642872,0.0110922,0.00496831,0.0173439,0.011961,0.0119382,0.00140619,454,4587,0,0,1,165,242444,0.10912,0.115085,0.133642,0.0130313,0.499519,0.992693
yellow,halftone,0.15,1,25.4,0.136025,0.138453,0.024663,97.9239,-2.16144,12.2039,0.0278663,0.0204705,0.00254603,0.0172678,0.0138683,0.0119382,0.00140619,456,54121,0,0,1,165,143748,0.141431,0.144856,0.135768,0.0304066,0.595494,0.98071
yellow,halftone,0.15,2,12.7,0.14101,0.138505,0.0246776,97.9215,-2.16154,12.1956,0.0446518,0.0315509,0.00183242,0.0172734,0.017781,0.0119382,0.00140619,456,51070,0,0,1,165,86183,0.130111,0.131138,0.143195,0.0213882,0.600227,0.981074
yellow,dither_fs,0.15,4.064,nan,0.13861,0.135765,0.0242195,97.9249,-2.05209,11.9633,0.00252981,0.0116706,0.00292487,0.0188221,0.011961,0.0119382,0.00140619,1427,59062,0,0,1,165,295514,0.151559,0.151627,0.136012,0.0187276,0.781799,0.961671
yellow,flat_tint,0.3,,nan,0,0.283449,0.0517616,95.0396,-2.49274,24.8607,4.17233e-07,0.0137978,0.0111632,0.0344775,0.011961,0.0119382,0.00140619,231,892,0,0,0,168,3122,0.287386,0.283449,0.283449,0.00492776,,
yellow,halftone,0.3,0.35,72.5714,0.252396,0.283552,0.0504103,95.8456,-3.81171,25.1895,0.00156482,0.0174811,0.0031235,0.0348346,0.011961,0.0119382,0.00140619,454,2899,0,0,1,165,413825,0.2,0.203922,0.297453,0.00924985,1.26363,1.00036
yellow,halftone,0.3,0.5,50.8,0.276239,0.293157,0.0523053,95.6732,-3.82675,25.9557,0.00998987,0.0114048,0.00396319,0.03671,0.0124427,0.0119382,0.00140619,454,6626,0,0,1,165,367764,0.214352,0.219444,0.266793,0.00776346,1.27541,1.03425
yellow,halftone,0.3,1,25.4,0.280501,0.280273,0.0499345,95.874,-3.75211,24.7713,0.0404424,0.0294251,0.00363036,0.0351101,0.0201752,0.0119382,0.00140619,456,56976,0,0,1,165,209157,0.290823,0.293066,0.272609,0.021103,1.24661,0.988794
yellow,halftone,0.3,2,12.7,0.289394,0.280344,0.0499517,95.8748,-3.75762,24.7553,0.0602945,0.0426727,0.00362896,0.0350727,0.026544,0.0119382,0.00140619,456,60545,0,0,1,165,118005,0.264461,0.264556,0.285434,0.0150435,1.25286,0.989044
yellow,dither_fs,0.3,4.064,nan,0.290911,0.280776,0.0500835,95.7752,-3.56744,24.8092,0.00149258,0.0110676,0.00426079,0.0396692,0.011961,0.0119382,0.00140619,1483,62490,0,0,1,165,472206,0.327394,0.327619,0.281297,0.0179165,1.06851,0.990567
yellow,flat_tint,0.55,,nan,0,0.515733,0.0911607,92.6003,-4.90884,46.3538,6.55651e-07,0.0203859,0.0186924,0.0631086,0.011961,0.0119382,0.00140619,231,892,0,0,0,168,3133,0.523607,0.515733,0.515733,0.00886057,,
yellow,halftone,0.55,0.35,72.5714,0.503464,0.532227,0.0948467,92.4155,-4.92465,47.2612,0.00166244,0.0199512,0.00596895,0.0659031,0.0141127,0.0119382,0.00140619,454,2901,0,0,1,165,485094,0.456677,0.460614,0.538004,0.00696251,0.315835,1.03198
yellow,halftone,0.55,0.5,50.8,0.496853,0.505675,0.0902051,92.754,-4.87253,44.8588,0.0107314,0.0180104,0.0093427,0.0628512,0.018987,0.0119382,0.00140619,454,6649,0,0,1,165,419933,0.462406,0.464162,0.496979,0.0119658,0.502517,0.980499
yellow,halftone,0.55,1,25.4,0.510711,0.501256,0.0893147,92.8276,-4.91934,44.4371,0.0423587,0.0313118,0.00625234,0.0626823,0.0322282,0.0119382,0.00140619,456,47747,0,0,1,165,274049,0.543378,0.542646,0.499277,0.0234296,0.655784,0.971931
