mode,archetype,rel_ttc_mean,rel_ttc_median,rel_ttc_min,rel_ttc_max,abs_ttc_mean,ttc_std_mean,q_gen0_mean,q_gen0_min,photocopy_retention_mean,n,n_failed,n_promising
COMBINED_REMOVE+TINT_75,D,0.46673,0.4568,0.398,0.57514,0.0093945,0.020856,0.99999,0.99999,0.77876,9,0,2
COMBINED_REMOVE+TINT_75,E,0.28619,0.28619,0.28376,0.28792,0.027541,0.096146,0.99999,0.99998,0.99777,9,0,0
COMBINED_REMOVE+TINT_75,F,0.45701,0.45709,0.29208,0.6421,0.40272,0.80253,0.99886,0.99741,1,9,0,0
COMBINED_REMOVE+TINT_75,G,0.24821,0.2483,0.24787,0.24856,0.0028449,0.011458,0.99914,0.99691,0.90476,9,0,0
COMBINED_REMOVE+TINT_75,H,0.36109,0.35647,0.30267,0.42516,0.0097533,0.027569,1,1,0.93429,9,0,3
COMBINED_REMOVE+TINT_75,I,0.28699,0.28772,0.28335,0.2906,0.078597,0.27454,1,1,0.98415,9,0,0
COMBINED_REMOVE+TINT_75,J,0.24272,0.24286,0.24101,0.24446,0.003333,0.013714,0.92661,0.86682,0.12066,9,0,0
COMBINED_REMOVE+TINT_75,K,0.97975,0.98129,0.96616,0.99064,0.40873,0.41731,1,1,0.9595,9,0,8
COMBINED_REMOVE+TINT_75,L,0.7226,0.64066,0.59736,0.91311,0.22785,0.26687,0.95401,0.84861,0.52744,9,0,0
COPY_SAFE_ECO,A,-0.49711,-0.38129,-0.909,-0.22216,-0.0076647,0.015477,1,1,1,9,0,0
COPY_SAFE_ECO,B,-0.18984,-0.11262,-0.3509,-0.1121,-0.01045,0.055382,1,1,1,9,0,0
COPY_SAFE_ECO,C,-0.11137,-0.11145,-0.11207,-0.11062,-0.0035039,0.031454,1,1,1,9,0,0
COPY_SAFE_ECO,D,0.14019,0.18011,-0.17406,0.31953,0.0028419,0.020856,0.93142,0.89269,1,9,0,0
COPY_SAFE_ECO,E,-0.03427,-0.019317,-0.067911,-0.016383,-0.003355,0.096146,0.9927,0.99021,1,9,0,0
COPY_SAFE_ECO,F,0.23192,0.23275,-0.00045113,0.49282,0.23702,0.80253,1,1,1,9,0,0
COPY_SAFE_ECO,G,-0.1189,-0.11303,-0.1312,-0.11263,-0.0013583,0.011458,0.99986,0.99928,0.99983,9,0,0
COPY_SAFE_ECO,H,-0.05968,0.02649,-0.44743,0.14975,-0.0016135,0.027569,1,1,1,9,0,0
COPY_SAFE_ECO,I,-0.025263,-0.024909,-0.027819,-0.023337,-0.0068856,0.27454,1,1,1,9,0,0
COPY_SAFE_ECO,J,-0.28217,-0.21233,-0.5512,-0.11242,-0.003686,0.013714,1,1,1,9,0,0
COPY_SAFE_ECO,K,0.96716,0.96914,0.94755,0.98574,0.40355,0.41731,1,1,1,9,0,1
COPY_SAFE_ECO,L,0.58857,0.47656,0.41865,0.87327,0.20892,0.26687,0.92501,0.8321,0.99998,9,0,2
DECOR_REMOVAL,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
DECOR_REMOVAL,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
DECOR_REMOVAL,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
DECOR_REMOVAL,D,0.28939,0.27598,0.195,0.43858,0.0055603,0.020856,1,1,0.99998,9,0,0
DECOR_REMOVAL,E,0,0,0,0,0,0.096146,1,1,1,9,0,0
DECOR_REMOVAL,F,0,0,0,0,0,0.80253,1,1,1,9,0,0
DECOR_REMOVAL,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
DECOR_REMOVAL,H,0.15231,0.14586,0.077036,0.2359,0.0039274,0.027569,1,1,1,9,0,0
DECOR_REMOVAL,I,0,0,0,0,0,0.27454,1,1,1,9,0,0
DECOR_REMOVAL,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
DECOR_REMOVAL,K,0.30626,0.30629,0.23211,0.38242,0.13013,0.41731,1,1,1,9,0,0
DECOR_REMOVAL,L,0.61677,0.49998,0.45172,0.87983,0.2129,0.26687,0.95383,0.84808,0.99998,9,0,6
DITHER_M,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
DITHER_M,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
DITHER_M,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
DITHER_M,D,0.25522,0.24639,0.20672,0.31801,0.0051486,0.020856,0.89026,0.75339,0.99998,9,2,0
DITHER_M,E,0.19088,0.19785,0.16132,0.22093,0.018089,0.096146,0.90767,0.89542,1,9,0,0
DITHER_M,F,0.68082,0.68299,0.66785,0.68995,0.54456,0.80253,0.51445,0.020102,0.99992,9,8,0
DITHER_M,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
DITHER_M,H,0.10416,0.09927,0.053076,0.16118,0.0026849,0.027569,1,1,1,9,0,0
DITHER_M,I,0.65146,0.65407,0.63748,0.66075,0.1789,0.27454,0.97778,0.93333,1,9,0,0
DITHER_M,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
DITHER_M,K,0.4734,0.47534,0.42049,0.5252,0.19608,0.41731,0.99985,0.9994,0.99981,9,0,0
DITHER_M,L,0.62961,0.6197,0.59629,0.67193,0.17544,0.26687,0.73218,0.63395,1,9,8,0
ECO_COLOUR,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
ECO_COLOUR,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
ECO_COLOUR,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
ECO_COLOUR,D,0.33095,0.32068,0.25387,0.45144,0.0065431,0.020856,0.98547,0.97225,0.99998,9,0,0
ECO_COLOUR,E,0.27952,0.27988,0.27158,0.28736,0.026848,0.096146,0.96933,0.96334,1,9,0,0
ECO_COLOUR,F,0.61159,0.60816,0.48906,0.74629,0.51657,0.80253,0.99433,0.99095,1,9,0,6
ECO_COLOUR,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
ECO_COLOUR,H,0.15231,0.14586,0.077036,0.2359,0.0039274,0.027569,1,1,1,9,0,0
ECO_COLOUR,I,0.46582,0.4655,0.45846,0.47249,0.12776,0.27454,1,1,1,9,0,1
ECO_COLOUR,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
ECO_COLOUR,K,0.97319,0.97525,0.95515,0.98762,0.40596,0.41731,1,1,0.99964,9,0,5
ECO_COLOUR,L,0.76498,0.7007,0.64984,0.92857,0.23412,0.26687,0.94445,0.87997,0.99998,9,0,6
GRAYSCALE,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
