mode,family,complexity,n_docs,rel_ttc_mean,rel_ttc_mean_ci95_lo,rel_ttc_mean_ci95_hi,rel_ttc_median,rel_ttc_median_ci95_lo,rel_ttc_median_ci95_hi,rel_ttc_min,rel_ttc_max,rel_ttc_var,abs_ttc_mean_pp,abs_ttc_median_pp,rel_wd_mean,rel_black_mean,rel_colour_mean,rel_nonwhite_mean,q_gen0_mean,q_gen0_min,photocopy_retention_mean,pdf_ratio_median,pdf_ratio_max,n_promising,n_conditional,n_dominated,n_failed,n_needs_physical_validation
TINT_FILL_30,lighter,2,108,0.29998,0.12995,0.47432,0.19325,0,0.64621,0,0.73659,0.093969,10.263,0.38619,0.25412,0.18371,0.69259,0.0013994,0.93097,0,0.99998,1,1.0009,6,13,80,9,0
TINT_FILL_15,lighter,2,108,0.35776,0.15506,0.57421,0.22825,0,0.76689,0,0.86818,0.13354,12.266,0.45641,0.31019,0.22882,0.81774,0.15582,0.87106,0,0.99998,1,1.0007,0,15,75,18,0
GRAYSCALE,grayscale,1,108,0.27301,0.10894,0.44263,0.1024,0,0.59773,0,0.76564,0.087802,9.989,0.14628,-0.00032273,-0.95183,1,0.001048,0.97291,0.7,1,1,1.1011,0,5,58,8,37
BW_THRESHOLD,bw,3,108,0.33681,0.14626,0.51886,0.35056,0.00063948,0.577,-0.10613,0.92437,0.10889,10.98,0.74279,0.12301,-0.48831,1,0.57716,0.65578,0,0.73001,0.53651,2.6622,0,0,46,62,0
BW_SEMANTIC,bw,2,108,0.13635,-0.13277,0.3749,0.13963,-0.11244,0.56674,-1.1482,0.78732,0.22104,9.8162,0.23957,-0.14547,-1.1203,1,0.34965,0.91402,0.58101,0.98371,0.99954,1.1998,0,4,85,17,2
OUTLINE_ONLY,outline,2,108,0.28676,0.09421,0.50851,0.034996,0,0.54023,0,0.98255,0.14493,12.04,0.11532,0.2388,0.12289,0.70282,0.35469,0.88176,0.020435,0.99996,1,1.0065,0,4,89,15,0
OUTLINE_NAIVE,outline,2,108,0.28758,0.090417,0.52463,0.034996,0,0.56581,0,0.98898,0.14604,12.093,0.11532,0.24129,0.13367,0.70282,0.35569,0.85244,0,0.88967,1,1.0065,0,4,83,21,0
BG_REMOVAL,removal,2,108,0.068299,0,0.17043,0,0,0,0,0.69434,0.032414,3.9939,0,0.050269,0.004728,0.14412,0.10499,1,1,0.99997,1,1,0,0,108,0,0
DECOR_REMOVAL,removal,2,108,0.11373,0.023054,0.22542,0,0,0.20247,0,0.87983,0.039733,2.9376,0,0.10777,0.077835,0.28385,0.16221,0.99615,0.84808,1,1,1,6,5,97,0,0
HALFTONE_H,halftone,3,108,0.16391,0.065651,0.26625,0.10473,0,0.36519,0,0.4651,0.03246,6.1255,0.24227,0.13635,0.083147,0.38601,0.056139,0.9763,0.81236,0.99987,19.237,961.25,0,0,108,0,0
HALFTONE_M,halftone,3,108,0.26353,0.10453,0.43323,0.16998,0,0.588,0,0.73516,0.083485,9.8869,0.39233,0.22391,0.146,0.61743,0.19952,0.91208,0,0.99997,20.905,1065.3,0,0,80,19,9
HALFTONE_L,halftone,3,108,0.31257,0.12251,0.51693,0.20278,0,0.70434,0,0.86259,0.11706,11.741,0.46694,0.26829,0.1795,0.73023,0.29125,0.85952,0,0.99997,20.95,1039.3,0,0,88,20,0
DITHER_M,dither,4,108,0.2488,0.099402,0.40428,0.16125,0,0.56075,0,0.68995,0.07429,9.3408,0.37181,0.21278,0.14017,0.5815,0.21667,0.91852,0.020102,0.99998,28.085,1420.8,0,0,89,18,1
HIGH_CONTRAST,contrast,2,108,-0.063585,-0.21038,0.11423,-0.094549,-0.11303,-0.024043,-0.909,0.74781,0.09063,3.8212,-0.27028,-0.13449,-0.54996,0.1893,0.082798,0.9901,0.89269,0.99999,0.99987,1.1024,0,15,93,0,0
