doc_id,archetype,archetype_key,density,size,paper,seed,holdout,mode,family,non_white_coverage,weighted_darkness,black_proxy,colour_proxy,total_tonal_coverage,cmy_composite_proxy,c_proxy,m_proxy,y_proxy,total_tonal_coverage_abs_reduction,total_tonal_coverage_rel_reduction,weighted_darkness_rel_reduction,non_white_coverage_rel_reduction,black_proxy_rel_reduction,colour_proxy_rel_reduction,attr_functional_total_tonal_coverage,attr_decorative_total_tonal_coverage,attr_fill_total_tonal_coverage,attr_line_total_tonal_coverage,attr_text_total_tonal_coverage,attr_image_total_tonal_coverage,visual_quality_score,critical_line_survival,small_text_survival,colour_information_survival,image_survival,image_pixel_visibility,image_colour_de_mean,fill_survival,q_gen0,colour_min_de2000,colour_min_de2000_deutan,colour_cvd_retention,photocopy_simulation_score,photocopy_min_class_gen2,photocopy_retention,photocopy_retention_gen1,photocopy_retention_gen2,rescan_score_gen2,text_cr_min,line_cr_min,text_cr_min_b,text_pass_b,text_pass_aaa_b,line_cr_min_b,line_pass_b,attr_colour_coded_total_tonal_coverage,attr_border_total_tonal_coverage,pdf_bytes,png_bytes,svg_bytes,t_load,t_pdf,dom_nodes,complexity,effective_complexity,applied_by,saving_class,overall_status,overall_status_stage1_pool,status_reason,dominated_by,physical_validation_required
H-M-M-A4-s1,H,TABLE_GRID,MEDIUM,M,A4,1,False,GRAYSCALE,grayscale,0.0655249,0.0260222,0.0260222,0,0.0260222,0.0780665,0,0,0,0,0,0,0,0,,0.0219168,0.00380025,0.00380025,0.0164226,0.0054942,0,,1,1,,,,,,1,,,,0.999865,0.999594,1,1,1,,17.4043,17.4043,13.184,1,1,13.184,1,0,0,39922,57813,8946,0.0190436,0.0174153,83,1,1,user+author,negligible,DOMINATED,DOMINATED,dominated by STANDARD (no effect on this page),STANDARD (no effect on this page),False
H-M-M-A4-s1,H,TABLE_GRID,MEDIUM,M,A4,1,False,BW_SEMANTIC,bw,0.0353501,0.0247359,0.0247359,0,0.0247359,0.0742078,0,0,0,0.00128622,0.0494279,0.0494279,0.460509,0.0494279,,0.0228889,2.95264e-05,2.95264e-05,0.016722,0.00616685,0,,0.944107,1,,,,,,0.944107,,,,0.999564,0.998692,0.944107,0.944107,0.998692,,21,21,21,1,1,21,1,0,0,39923,57004,8982,0.0303722,0.0191225,83,2,2,author,negligible,DOMINATED,DOMINATED,"dominated by ECO_COLOUR,SUPER_ECO_BW,OPACITY_GROUP_75,TINT_FILL_30…",ECO_COLOUR|SUPER_ECO_BW|OPACITY_GROUP_75|TINT_FILL_30|OUTLINE_ONLY|DECOR_REMOVAL,False
H-M-M-A4-s1,H,TABLE_GRID,MEDIUM,M,A4,1,False,OUTLINE_ONLY,outline,0.0353501,0.0222516,0.0222516,0,0.0222516,0.0667549,0,0,0,0.00377054,0.144897,0.144897,0.460509,0.144897,,0.020871,2.97074e-05,2.97074e-05,0.0153248,0.00554615,0,,1,1,,,,,,1,,,,0.999865,0.999594,1,1,1,,17.4043,17.4043,17.404,1,1,17.404,1,0,0,40040,57870,8979,0.0243773,0.0189102,83,2,2,author,small,DOMINATED,DOMINATED,dominated by OPACITY_GROUP_75,OPACITY_GROUP_75,False
H-M-M-A4-s1,H,TABLE_GRID,MEDIUM,M,A4,1,False,BG_REMOVAL,removal,0.0655249,0.0260222,0.0260222,0,0.0260222,0.0780665,0,0,0,0,0,0,0,0,,0.0219168,0.00380025,0.00380025,0.0164226,0.0054942,0,,1,1,,,,,,1,,,,0.999865,0.999594,1,1,1,,17.4043,17.4043,13.184,1,1,13.184,1,0,0,39922,57813,8946,0.0160611,0.0233634,83,2,2,user*+author,negligible,DOMINATED,DOMINATED,dominated by STANDARD (no effect on this page),STANDARD (no effect on this page),False
H-M-M-A4-s1,H,TABLE_GRID,MEDIUM,M,A4,1,False,DECOR_REMOVAL,removal,0.0353492,0.0222219,0.0222219,0,0.0222219,0.0666658,0,0,0,0.00380025,0.146039,0.146039,0.460523,0.146039,,0.0222219,0,0,0.0166758,0.00554615,0,,1,1,,,,,,1,,,,0.999865,0.999594,1,1,1,,17.4043,17.4043,17.404,1,1,17.404,1,0,0,39898,57828,8851,0.0220723,0.0169544,81,2,2,author,small,DOMINATED,DOMINATED,dominated by OPACITY_GROUP_75,OPACITY_GROUP_75,False
H-M-M-A4-s1,H,TABLE_GRID,MEDIUM,M,A4,1,False,HALFTONE_M,halftone,0.0493048,0.0232968,0.0232968,0,0.0232968,0.0698903,0,0,0,0.00272539,0.104733,0.104733,0.247541,0.104733,,0.0221549,0.00107486,0.00107486,0.0166228,0.00553216,0,,1,1,,,,,,1,,,,0.999865,0.999594,1,1,1,,17.4043,17.4043,16.105,1,1,16.105,1,0,0,546813,100890,9171,0.00824411,0.104267,86,3,4,author,small,DOMINATED,DOMINATED,"dominated by ECO_COLOUR,OPACITY_GROUP_75,TINT_FILL_30,OUTLINE_ONLY…",ECO_COLOUR|OPACITY_GROUP_75|TINT_FILL_30|OUTLINE_ONLY|DECOR_REMOVAL,True
H-M-M-A4-s1,H,TABLE_GRID,MEDIUM,M,A4,1,False,HIGH_CONTRAST,contrast,0.0655249,0.0285067,0.0285067,0,0.0285067,0.08552,0,0,0,-0.0024845,-0.0954762,-0.0954762,0,-0.0954762,,0.0244013,0.00380025,0.00380025,0.0182864,0.00611489,0,,1,1,,,,,,1,,,,1,1,1,1,1,,21,21,15.908,1,1,15.908,1,0,0,39921,57087,8946,0.0144803,0.0193711,83,2,2,author,negligible,DOMINATED,DOMINATED,dominated by STANDARD (no effect on this page),STANDARD (no effect on this page),False
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,OPACITY_GROUP_75,opacity,0.0662426,0.0199688,0.0199688,0,0.0199688,0.0599064,0,0,0,0.00665626,0.25,0.25,0.000409341,0.25,,0.0168898,0.00282741,0.00282741,0.0123169,0.00457282,0,,1,1,,,,,,1,,,,0.994101,0.987633,0.988089,1,0.988089,,7.69228,7.69228,6.278,1,0.90164,6.278,1,0,0,41310,63182,9406,0.020982,0.015728,87,1,1,author,small,CONDITIONAL,CONDITIONAL,small saving,,False
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,OPACITY_GROUP_60,opacity,0.0654936,0.015975,0.015975,0,0.015975,0.0479251,0,0,0,0.01065,0.4,0.4,0.0117113,0.4,,0.0135118,0.00226193,0.00226193,0.00985355,0.00365825,0,,1,0.90164,,,,,,0.90164,,,,0.902758,0.871066,0.871468,0.996493,0.871468,,4.54222,4.54222,3.8449,0.90164,0.016393,3.8449,1,0,0,41309,62097,9406,0.0127369,0.0192001,87,1,1,author,meaningful,CONDITIONAL,CONDITIONAL,function 0.90; copy retention 0.87,,False
H-M-M-A4-s2,H,TABLE_GRID,MEDIUM,M,A4,2,False,TINT_55,lighter,0.0654936,0.0147208,0.0147208,0,0.0147208,0.0441623,0,0,0,0.0119043,0.447109,0.447109,0.0117113,0.447109,,0.012469,0.00206642,0.00206642,0.00903852,0.0034305,0,,1,0.016393,,,,,,0.016393,,,,0.848586,0.808306,0.80868,0.985731,0.80868,,3.89573,3.89573,3.3577,0.016393,0,3.3577,1,0,0,40879,61277,9406,0.00881537,0.022113,87,1,1,author,meaningful,FAILED,FAILED,critical function retained 0.02 (<0.8),,False
