mode,dpi,colour,style,width_mm,colour_after,width_after_mm,nominal_tone,g0_continuity,g0_peak_tone_median,raster_fidelity,rendered_wcag_cr,nominal_wcag_cr,tone_per_mm,pc1_continuity,pc1_peak_tone_median,pc2_continuity,pc2_peak_tone_median,pc3_continuity,pc3_peak_tone_median
TINT_30,300,black,dashed,0.35,#bababa,0.35,0.270588,1,0.270588,1,1.94078,1.94078,0.0976457,0.969412,0.191636,0.00117647,0.0756759,0,0.0680018
TINT_30,300,black,dashed,0.5,#bababa,0.5,0.270588,1,0.270588,1,1.94078,1.94078,0.137459,1,0.228727,0.174118,0.123868,0,0.0675932
TINT_30,300,black,dashed,0.75,#bababa,0.75,0.270588,1,0.270588,1,1.94078,1.94078,0.206188,1,0.245639,0.758824,0.164964,0,0.0728677
TINT_30,300,guide_grey,solid,0.05,#e2e2e2,0.05,0.113725,0,0.0433679,0.381339,1.09987,1.29546,0.00600511,0,0.0677143,0.000564653,0.0678838,0,0.067977
TINT_30,300,guide_grey,solid,0.1,#e2e2e2,0.1,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.011962,0,0.068078,0,0.0681815,0,0.067998
TINT_30,300,guide_grey,solid,0.18,#e2e2e2,0.18,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0191742,0,0.0682268,0,0.06785,0,0.0681803
TINT_30,300,guide_grey,solid,0.25,#e2e2e2,0.25,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0265907,0,0.0681039,0,0.0682502,0,0.0684334
TINT_30,300,guide_grey,solid,0.35,#e2e2e2,0.35,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0388861,0,0.0677542,0,0.0680146,0,0.0679765
TINT_30,300,guide_grey,solid,0.5,#e2e2e2,0.5,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0577725,0,0.0684423,0,0.0684635,0,0.0677645
TINT_30,300,guide_grey,solid,0.75,#e2e2e2,0.75,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0842421,0,0.0704256,0,0.067911,0,0.0683775
TINT_30,300,guide_grey,dashed,0.05,#e2e2e2,0.05,0.113725,0,0.0475201,0.417849,1.10962,1.29546,0.00570043,0,0.0682167,0,0.0686555,0,0.0677504
