mode,dpi,colour,style,width_mm,colour_after,width_after_mm,nominal_tone,g0_continuity,g0_peak_tone_median,raster_fidelity,rendered_wcag_cr,nominal_wcag_cr,tone_per_mm,pc1_continuity,pc1_peak_tone_median,pc2_continuity,pc2_peak_tone_median,pc3_continuity,pc3_peak_tone_median
TINT_55,300,guide_grey,dashed,0.5,#cacaca,0.5,0.207843,1,0.207843,1,1.63904,1.63904,0.101237,0.475294,0.14869,0,0.0691343,0,0.0686024
TINT_55,300,guide_grey,dashed,0.75,#cacaca,0.75,0.207843,1,0.207843,1,1.63904,1.63904,0.154029,0.836471,0.168415,0,0.0763037,0,0.0681499
TINT_55,300,trace_grey,solid,0.05,#dfdfdf,0.05,0.12549,0,0.0583622,0.465074,1.13961,1.33264,0.00658193,0,0.0679229,0,0.0678911,0,0.0677853
TINT_55,300,trace_grey,solid,0.1,#dfdfdf,0.1,0.12549,0,0.0939946,0.74902,1.2366,1.33264,0.0132915,0,0.0682442,0,0.068216,0,0.0674759
TINT_55,300,trace_grey,solid,0.18,#dfdfdf,0.18,0.12549,0,0.12549,1,1.33264,1.33264,0.0239163,0,0.0680116,0,0.0678325,0,0.0684424
TINT_55,300,trace_grey,solid,0.25,#dfdfdf,0.25,0.12549,0,0.12549,1,1.33264,1.33264,0.0319162,0,0.0686672,0,0.0678565,0,0.0681109
TINT_55,300,trace_grey,solid,0.35,#dfdfdf,0.35,0.12549,0,0.12549,1,1.33264,1.33264,0.045166,0,0.0695894,0,0.0682823,0,0.0685107
TINT_55,300,trace_grey,solid,0.5,#dfdfdf,0.5,0.12549,0,0.12549,1,1.33264,1.33264,0.0610824,0,0.0715632,0,0.0678137,0,0.0675426
TINT_55,300,trace_grey,solid,0.75,#dfdfdf,0.75,0.12549,0,0.12549,1,1.33264,1.33264,0.0956235,0,0.0758468,0,0.0690235,0,0.0675806
TINT_55,300,trace_grey,dashed,0.05,#dfdfdf,0.05,0.12549,0,0.0629297,0.501471,1.14986,1.33264,0.00633715,0,0.0679899,0,0.0677629,0,0.0675544
TINT_55,300,trace_grey,dashed,0.1,#dfdfdf,0.1,0.12549,0,0.0944867,0.752941,1.2366,1.33264,0.0133331,0,0.0691725,0,0.0670533,0,0.0681407
TINT_55,300,trace_grey,dashed,0.18,#dfdfdf,0.18,0.12549,0,0.12549,1,1.33264,1.33264,0.0212913,0,0.0684063,0,0.0675459,0,0.0687451
TINT_55,300,trace_grey,dashed,0.25,#dfdfdf,0.25,0.12549,0,0.12549,1,1.33264,1.33264,0.0319162,0,0.0680618,0,0.0673987,0,0.0690573
TINT_55,300,trace_grey,dashed,0.35,#dfdfdf,0.35,0.12549,0,0.12549,1,1.33264,1.33264,0.0452076,0,0.0690563,0,0.0679954,0,0.0685737
TINT_55,300,trace_grey,dashed,0.5,#dfdfdf,0.5,0.12549,0,0.12549,1,1.33264,1.33264,0.0637907,0,0.0713407,0,0.0668512,0,0.0692146
TINT_55,300,trace_grey,dashed,0.75,#dfdfdf,0.75,0.12549,0,0.12549,1,1.33264,1.33264,0.0929985,0,0.075425,0,0.0672277,0,0.0683525
